Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-sheet-set,,,,,,,Queen - $332.00,,,,,PCH-PC1838-03,4536.105137,shopify,5000,deny,manual,332,,TRUE,TRUE,'614099545535,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sheets2_58d6efe0-7939-496f-9b5f-defecf7e6d53.jpg?v=1603313634,2,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sheet Set - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sheets_37b123ec-7717-4dc4-9dd6-5a8a1c827750.jpg?v=1603313634,lb,,,
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-sheet-set,,,,,,,King - $384.00,,,,,PCH-PC1838-04,4536.105137,shopify,5000,deny,manual,384,,TRUE,TRUE,'614099545542,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-bedding2_a5a5ee17-ec0c-4984-b46f-89e133517e5d.jpg?v=1603313634,3,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sheet Set - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sheets_37b123ec-7717-4dc4-9dd6-5a8a1c827750.jpg?v=1603313634,lb,,,
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-pillowcases,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Pillowcases,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Pillowcases, Bedding & Bath: Sheets and Pillowcases-1",TRUE,Select Size,Standard - $54.00,,,,,PCH-PC1839-01,4536.105137,shopify,4998,deny,manual,54,,TRUE,TRUE,'614099545559,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sheets.jpg?v=1603313634,1,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Pillowcases - Lavender Fields,FALSE,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Pillowcases Ship Free,"Cascade Stripe Flannel Blue/Oatmeal Pillowcases from Pine Cone Hill feature variegated stripes in denim blue and oatmeal and is brushed to mottled perfection. Made from 100% cotton, these pillowcases have a classic look you'll love. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,PC1839-S,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sheets.jpg?v=1603313634,lb,,,active
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-pillowcases,,,,,,,King - $64.00,,,,,PCH-PC1839-02,4536.105137,shopify,5000,deny,manual,64,,TRUE,TRUE,'614099545566,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sheets2.jpg?v=1603313634,2,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Pillowcases - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sheets.jpg?v=1603313634,lb,,,
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-sham,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sham,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Duvet Covers & Shams, Bedding & Bath: Shams",TRUE,Select Size,Standard - $58.00,,,,,PCH-PC1837-01,4536.105137,shopify,5000,deny,manual,58,,TRUE,TRUE,'614099545481,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sham2_ea68c953-28e5-4682-bdd3-9bf8c08f1251.jpg?v=1603313632,1,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sham - Lavender Fields,FALSE,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sham,"The Cascade Stripe Flannel Blue/Oatmeal Sham from Pine Cone Hill features variegated stripes in denim blue and oatmeal and is brushed to mottled perfection. Made from 100% cotton, this sham has a classic look you'll love. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,PC1837-SHS,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sham2_ea68c953-28e5-4682-bdd3-9bf8c08f1251.jpg?v=1603313632,lb,,,active
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-sham,,,,,,,European - $58.00,,,,,PCH-PC1837-02,4536.105137,shopify,5000,deny,manual,58,,TRUE,TRUE,'614099545498,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-duvetcover_fa441318-7968-410e-912c-3a9b6a92e0c4.jpg?v=1603313632,2,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sham2_ea68c953-28e5-4682-bdd3-9bf8c08f1251.jpg?v=1603313632,lb,,,
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-sham,,,,,,,King - $64.00,,,,,PCH-PC1837-03,4536.105137,shopify,4998,deny,manual,64,,TRUE,TRUE,'614099545504,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sham.jpg?v=1603313632,3,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sham2_ea68c953-28e5-4682-bdd3-9bf8c08f1251.jpg?v=1603313632,lb,,,
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-sham,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-bedding2.jpg?v=1603313632,4,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sham - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-duvet-cover,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Duvet Cover,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Duvet Covers & Shams, Bedding & Bath: Duvets",TRUE,Select Size,Twin - $210.00,,,,,PCH-PC1836-01,4536.105137,shopify,5000,deny,manual,210,,TRUE,TRUE,'614099545450,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-duvetcover.jpg?v=1603313631,1,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Duvet Cover - Lavender Fields,FALSE,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Duvet Cover,"The Cascade Stripe Flannel Blue/Oatmeal Duvet Cover from Pine Cone Hill features variegated stripes in denim blue and oatmeal and is brushed to mottled perfection. Made from 100% cotton, this duvet cover has a classic look you'll love. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,PC1836-T,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-duvetcover.jpg?v=1603313631,lb,,,active
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-duvet-cover,,,,,,,Full/Queen - $252.00,,,,,PCH-PC1836-02,4536.105137,shopify,4998,deny,manual,252,,TRUE,TRUE,'614099545467,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sham2.jpg?v=1603313631,2,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Duvet Cover - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-duvetcover.jpg?v=1603313631,lb,,,
